DomainName	Company	Category	Description	
ads-creativesyndicator.com	Rightster Ltd	CDN Video	Rightster is a global b2b video network for distribution, content-sourcing, audience engagement and monetisation. Rightster's software and services make it simple for sports, fashion, news, entertainment and viral rights holders to maximise the value of their video whether on a licenced, ad-funded, direct to consumer or paid placement basis. Rightster provides an 'upload once -  commercialise everywhere' solution that extends the reach of live and on-demand video content to web, mobile and connected audiences via clients' own sites, social channels, portals, platforms, online newspapers, magazines and blogs as well as Rightster's Multi Channel network (MCN) on YouTube.	
ads.fairfax.com.au	Fairfax Media Limited	Advertising	Fairfax Media Limited is Australasia's leading media company. Fairfax media operations include newspapers, magazines, radios and digital media operating in Australia and New Zealand.	
ads.yahoo.com	Yahoo! Inc.	Advertising	Yahoo delivers custom solutions to build your brand and drive the response you want. Yahoo&#039;s industry-leading targeting tools turn audiences into customers, helping you reach the people who matter to your business and deliver the right message.	
adsafeprotected.com	 Integral	Advertising	Integral Ad Science is the digital advertising industry's recognized leader in brand protection, ad verification and ad viewability data.	
adscale.de	Adscale	Advertising	adscale is the leading marketplace for digital advertising in Germany. Advertisers and website owners offers adscale a transparent and wide-reaching marketplace for digital advertising space. We combine this range with quality: through collaborations with renowned AGOF marketers, through our leading position in comScore rankings, by working with all the major media agencies and direct clients and third party vendors. Through various optimization technologies such as targeting and real-time bidding campaigns on adscale efficiently controlled and targeted yield management are operated. Combined with the marketplace logic of our business partners benefit from a fair price-performance ratio.	
adspeed.net	AdSpeed	Advertising	AdSpeed is an independent ad server and ad manager. We serve your ads, track impressions, clicks, revenue, conversions and report ad statistics in real-time.	
adsrvr.org	TheTradeDesk	Advertising	Ad Serving Platform.	
adstheaa.com	The AA	Advertising	The AA also provides car insurance, home insurance, travel insurance, route planning and advice.	
adsymptotic.com	Drawbridge Inc.	Advertising	Drawbridge has developed the first self-learning ad technology that leverages insights from cross-device behavior to enable advertisers and marketers to reach targeted mobile audiences. Drawbridge's unique approach is built on a foundation of large-scale machine learning algorithms that correlate audience behavior across screens. Through its innovative technology, the company is able to gain insights and a much deeper understanding of mobile audience behavior than was previously possible. The company is located in Silicon Valley and is backed by Sequoia Capital, and Kleiner Perkins Caulfield and Byers.	
adtech.de	Adtech (AOL)	Advertising	ADTECH's integrated ad serving solutions enable web publishers, ad networks, agencies and advertisers to manage, serve and report on their online advertising campaigns ncluding display, video and mobile formats.	
adtechus.com	Adtech (AOL)	Advertising	ADTECH's integrated ad serving solutions enable web publishers, ad networks, agencies and advertisers to manage, serve and report on their online advertising campaigns – including display, video and mobile formats.	
advertising.com	AOL	Advertising	Advertising.com combines the industrys most advanced technology, precise targeting and a quality network to deliver results for advertisers &amp; publishers.	
adviva.net	Specific Media LLC	Advertising	With capabilities spanning customised video, engaging original content and decision-driving display, Specific Media™ offers custom solutions, connecting all digital formats to execute a smarter and more efficient marketing plan.	
affec.tv	Affectv	Advertising	Affectv is an international leader in audience technology. We mission is to make advertising more relevant for people so we can help improve the Internet. We help brands and marketers to find, understand and connect with the relevant audience, in real-time across multiple digital channels, by translating the world of noisy data into peoples' signals.	
afy11.net	 Cox Digital Solutions	Advertising	Previously Adify, Cox Digital Solutions provides dynamic display and mobile advertising opportunities through a network of established relationships with publishers as well as a robust and established suite of products.	
agcdn.com	Accord Holdings Ltd	Advertising	The Accord Group is an integrated digital marketing agency with offices in London, Manchester and Devon with a focus on direct response advertising.	
agendamedia.co.uk	Agenda Media	Advertising	Agenda Media are a digital media sales house offering best in class advertisers dedicated regional agency representation outside of the M25.	
agilitycms.com	Agility Inc.	Web Design	Agility CMS is a cloud-based content management system for building and managing responsive websites and apps.	
agilone.com	AgilOne	Marketing Platform	Make your marketing more effective with AgilOne's predictive marketing software - 360 customer profiles, advanced segmentation and targeted campaigns.	
agkn.com	Neustar	Analytics	Formally Aggregate Knowledge, Neustar PlatformOne is an integrated marketing analytics platform that provides a complete, accurate, real-time portrait of your customer.	
agoramedia.com	Everyday Health Inc	Advertising	The Everyday Health portfolio provides marketers with a trusted platform to promote their offerings, including a suite of customized marketing solutions that utilize our database to target their desired audience.	
airpr.com	AirPR	Analytics	AirPR Analyst humanizes data to measure the ROI of PR, and AirPR Marketplace matches top PR professionals with companies.	
ajax.aspnetcdn.com	Microsoft Corporation	CDN JSLib	The Microsoft Ajax Content Delivery Network (CDN) hosts popular third party JavaScript libraries such as jQuery and enables you to easily add them to your Web applications.	
ajax.cloudflare.com	Cloudfare	CDN JSLib	CloudFlare is a free global CDN and DNS provider that can speed up and protect any site online.	
ajax.googleapis.com	Google	CDN JSLib	The Google Hosted Libraries is a content distribution network for the most popular, open-source JavaScript libraries. The hosted libraries provides access to a growing list of the most popular, open-source JavaScript libraries.	
ajax.microsoft.com	Microsoft Corporation	CDN JSLib	The Microsoft Ajax Content Delivery Network (CDN) hosts popular third party JavaScript libraries such as jQuery and enables you to easily add them to your Web applications. The CDN used to use the microsoft.com domain name and has been changed to use the aspnetcdn.com domain name. This change was made to increase performance because when a browser referenced the microsoft.com domain it would send any cookies from that domain across the wire with each request. By renaming to a domain name other than microsoft.com performance can be increased by as much to 25%. Note ajax.microsoft.com will continue to function but ajax.aspnetcdn.com is recommended.	
akamai.net	Akamai Technologies	CDN	Trusted by leading brands, Akamai&#039;s Intelligent Platform provides the ubiquity required to scale reliably and to quickly adapt to changes. The Akamai Intelligent Platform is the leading cloud platform for delivering secure, high-performing user experiences to any device, anywhere. It reaches globally and delivers locally. The platform is made up of a distributed network of servers and intelligent software, delivering over two trillion interactions daily. No one delivers more Web traffic than Akamai and 90% of Internet users are a single network hop away. The Akamai Intelligent Platform is constantly monitoring Web conditions.	
akamaiedge.net	Akamai Technologies	CDN	Trusted by leading brands, Akamai's Intelligent Platform provides the ubiquity required to scale reliably and to quickly adapt to changes. The Akamai Intelligent Platform is the leading cloud platform for delivering secure, high-performing user experiences to any device, anywhere. It reaches globally and delivers locally. The platform is made up of a distributed network of servers and intelligent software, delivering over two trillion interactions daily. No one delivers more Web traffic than Akamai and 90% of Internet users are a single network hop away. The Akamai Intelligent Platform is constantly monitoring Web conditions.	
akamaihd.net	Akamai Technologies	CDN	As the leading cloud platform for media and content delivery, application performance, and Web security, we enable any experience on any device.	
akamaitechnologies.com	Akamai Technologies	CDN	Trusted by leading brands, Akamai's Intelligent Platform provides the ubiquity required to scale reliably and to quickly adapt to changes. The Akamai Intelligent Platform is the leading cloud platform for delivering secure, high-performing user experiences to any device, anywhere. It reaches globally and delivers locally. The platform is made up of a distributed network of servers and intelligent software, delivering over two trillion interactions daily. No one delivers more Web traffic than Akamai and 90% of Internet users are a single network hop away. The Akamai Intelligent Platform is constantly monitoring Web conditions.	
akamaitechnologies.fr	Akamai Technologies	CDN	Trusted by leading brands, Akamai's Intelligent Platform provides the ubiquity required to scale reliably and to quickly adapt to changes. The Akamai Intelligent Platform is the leading cloud platform for delivering secure, high-performing user experiences to any device, anywhere. It reaches globally and delivers locally. The platform is made up of a distributed network of servers and intelligent software, delivering over two trillion interactions daily. No one delivers more Web traffic than Akamai and 90% of Internet users are a single network hop away. The Akamai Intelligent Platform is constantly monitoring Web conditions.	
allaccess.com.ph	All Access	Unified Registration	ALL ACCESS is a unified registration system that allows you to log on to member websites using a single username and password.	
amazon-adsystem.com	Amazon	Advertising	Context Links, a new contextual ad system. By adding a snippet of code to a website, Amazon will highlight phrases with associated products in their marketplace and let users navigate to the Amazon website to purchase the item.	
amazonaws.com	Amazon	CDN	Amazon Web Services offers reliable, scalable, and  inexpensive cloud computing services. Free to join, pay only for what you use.	
ambientplatform.vn	Ambient Corp. (Ericcson)	Connectivity	Our innovative platform enables utilities to deploy and integrate multiple smart grid applications and technologies, in parallel on a single communications infrastructure, supporting Smart Metering, Distribution Automation, Distribution Management, Demand Response, Distributed Generation and more.	
amgdgt.com	Adconian Media Group	Advertising	Uses real time bidding to sell targeted audience advertising space based on behavioural profiles.	
amplience.com	Ampliance Ltd	Marketing Platform	Engage and excite with interactive sales &amp; marketing campaigns that drive customers into high conversion product and promotional pages. Synchronise rich interactive campaign media including carousels, banners and look-books across landing and category pages, as well as off-site destinations like Facebook and affiliate sites. Schedule and optimise campaigns using Amplience Campaign Manager, test multiple variants and use advanced interactions, animations and calls-to-action to draw customers into deeper, more valuable relationships.	
analytics-egain.com	eGain	Analytics	eGain provides multichannel and channel specific analytics that enable companies to design customer journeys and optimize their sales and service performance.	
analytics.fairfax.com.au	Fairfax Media Limited	Analytics	Fairfax Media Limited is Australasia's leading media company. Fairfax media operations include newspapers, magazines, radios and digital media operating in Australia and New Zealand.	
analytics.yahoo.com	Yahoo! Inc.	Analytics	Yahoo Web Analytics is a sophisticated, browser-based tracking system that can help you track and analyze visitor activity on your web-based properties. Yahoo Web Analytics infers certain characteristics about your web site visitors, where those visitors go on your web sites, what they do while there, and makes that information available to you.	
angsrvr.com	Falk Technologies 	Advertising	The Falk Technologies stack suite serves the entire value chain of the online advertising market, both horizontally between agencies (demand side) and publishers (supply side) and vertically. Entrepreneur Thomas Falk launched Falk Technologies together with an experienced team of specialists in 2008 to develop this one-of-a-kind ad-serving solution for the rapidly growing RTB (real-time bidding) market.	
aol.co.uk	AOL	Advertising	Without insight, data is nothing more than numbers on a page. AOL finds the patterns hidden in the reports, so that you can put the data to work for you.	
aol.com	AOL	Advertising	Without insight, data is nothing more than numbers on a page. AOL finds the patterns hidden in the reports, so that you can put the data to work for you.	
aolcdn.com	AOL	Advertising	Without insight, data is nothing more than numbers on a page. AOL finds the patterns hidden in the reports, so that you can put the data to work for you.	
api.skyscanner.net	SkyScanner	Travel Search Tools	The Skyscanner API is composed of services that can be used either individually, to add travel search functionality to an existing product, or combined, to build a fully-fledged travel search product.	
appdynamics.com	AppDynamics	Performance	Get real-time insight from your applications using Application Performance Management?how they?re being used, how they?re performing, where they need help.	
appspot.com	Google	Internet Hosting	Google App Engine is a Platform as a Service (PaaS) offering that lets you build and run applications on Google's infrastructure. App Engine applications are easy to build, easy to maintain, and easy to scale as your traffic and data storage needs change. With App Engine, there are no servers for you to maintain. You simply upload your application and it's ready to go.	
ardentcreative.co.uk	Ardent Creative	Web Design	With 30 years of experience, Ardent Creative are one of the most experienced web design/creative agencies around.	
atdmt.com	Facebook	Tracking	ATDMT is a tracking cookie served by Facebook subsidiary Atlas Solutions and used as a third party cookie by several websites. The cookie originates from the domain atdmt.com which is owned by Atlas.	
atemda.com	Admeta AB	Advertising	We are the leading Private Ad Exchange provider incorporating world class optimization technology to Premium Publishers.	
atgsvcs.com	Oracle Corporation	Analytics	The Oracle Recommendations On Demand API is available in a variety of flavors enabling retailers to balance their recommendation needs with their existing infrastructure and bandwidth requirements. This is our most commonly used flavor. It includes our full suite of functionality and renderering capabilities. This file is served using GZip compression to compatible browsers.	
atwola.com	AOL Time Warner	Tracking	atwola.com is a domain used by AOL Advertising which is an advertising company that is part of a network of sites, cookies, and other technologies used to track website visits.	
audienceiq.com	Experian	Credit Reports	Free credit reports and credit scores from Experian. Get your free credit report and credit score now. It's free, fast, and easy!  All credit reports are not created equal.	
authorize.net	CyberSource (Visa)	Payment Gateway	Payment gateway enables internet merchants to accept online payments via credit card and e-check.	
axf8.net	Compuware Corporation	Performance	Formally Gomez. Unlike traditional APM solutions that are heavy, difficult and reactive, Compuware APM is light, smart and proactive. Designed to manage the complexity of today's most challenging web, cloud, mobile, enterprise and Big Data applications, Compuware APM optimizes and monitors tens of thousands of applications for more than 5,000 customers, large and small, around the globe.	
b2btechleadform.com	QuinStreet Inc	Advertising	The Leader in Vertical Marketing and Media Online. QuinStreet serves clients and consumers in large, information-intensive industry verticals where relevant, targeted media and offerings help visitors make informed choices and find products and services that match their needs. Currently, primary client verticals are the education and financial services industries.	
backinstock.org	Yellow Robot	Email Marketing	Back in Stock is the easiest way to increase sales and value of your existing Shopify store traffic	
baifendian.com	Baifendian Technology	Marketing Platform	Beijing Baifendian Information Technology Inc., having developed the most sophisticated recommendation engine and the most comprehensive consumer preference database in China, specializes in providing integrated optimization solutions for E-commerce websites through in-site traffic conversion and business intelligence analysis. Baifendian services include Baifendian Recommendation Engine (BRE) and Baifendian Analytics Engine (BAE), which focus on analyzing shopping preferences across the internet thereby providing precise marketing services to E-commerce sites, increasing their traffic conversion rates and transaction per customer, encouraging customer purchase, extending customer life cycle, and E-commerce sites' competitiveness.	
bannersnack.com	Snacktools	Advertising	Banners are compatible with Facebook Ads and Google AdWords. You can download and use the banner ads as you wish or you can use our advertising platform to reach your audience everywhere.	
barilliance.net	Barilliance Ltd.	Web Personalization	Barilliance provides website Personalization technologies that help e-commerce sites of any size to increase sales and conversion rates.	
baynote.net	Baynote	Web Personalization	Baynote helps leading online brands personalize the customer shopping experience across touch points based on what consumers are looking for in the moment.	
bazaarvoice.com	bazaar voice	Opinions and Reviews	Bazaarvoice connects brands, retailers and consumers in the world's largest shopper network, delivering ROI through reviews, analytics and targeted media.	
betrad.com	Ghostery Inc.	Marketing Platform	Ghostery, Inc. is a global marketing technology company that provides online transparency and control to individuals and businesses. Millions of people around the world have installed Ghostery's easy to use browser plug-in to see and manage the information they share with companies online. Ghostery Enterprise puts the same power in the hands of professionals and enterprises. Ghostery Enterprise’s Marketing Cloud Management software enables enterprises to better manage their marketing cloud, improving data governance, site performance and vendor management. Ghostery Enterprise also offers privacy governance to enterprises, ensuring that companies comply with privacy standards and offer transparency to online users.	
betweendigital.com	Between Digital	Ad Real-time Bidding	Between is a system that allows sites to earn more money on advertising! Between Digital is the first system of yield management in Russia allowing sites to effectively sell online advertisement with the help of RTB (real-time-bidding).	
bid.g.doubleclick.net	DoubleClick Bid Manager (Google)	Advertising	Our demand-side-platform (DSP), DoubleClick Bid Manager offers new ways for advertisers, agencies, and trading desks to reinvent display buying. Access billions of impressions, and rely on powerful audience and contextual data to target the right customers in the right moments.	
bidswitch.net	Iponweb	Connectivity	IPONWEB has a vision for RTB and Media Trading that is open, transparent and allows many different kinds of businesses to trade and sell media in real-time. All in their own unique way	
bigcommerce.com	Bigcommerce Pty. Ltd.	Marketing Platform	Bigcommerce provides ecommerce software solutions and shopping cart software for online businesses.	
bing.com	Microsoft Corporation	Advertising	Bing Ads connects your business with millions of potential customers searching online.	
bitgravity.com	BitGravity (Tata Communications)	CDN	BitGravity offers best of breed video delivery, video management, Web site acceleration, and live streaming products on the world's largest Tier 1 network.	
bizinformation.org	VOID	Tracking	NOT operational.	
bizographics.com	Bizo	Marketing Platform	Bizo's data management and targeting technology, fueled by a proprietary audience of more than 90% of the U.S. business population, enables precise and measurable B2B display and social advertising programs.	
bizrate.com	Bizrate	Opinions and Reviews	Bizrate Insights is the customer feedback and ratings platform of Bizrate, providing tools and reports to over 6,000 retailers worldwide and empowering retailers to achieve their end goal of growing sales and customer loyalty.  Bizrate Insights assists retailers in listening to their customers in way that is fast and measurable, resulting in insights, action, conversation, and customer loyalty.	
bkrtx.com	Oracle Corporation	Advertising	BlueKai works with websites to aggregate anonymous activities and enables marketers to provide more targeted online advertising.	
blogcdn.com	Google	Community & Discussion	Blogger is a free blog-publishing tool from Google for easily sharing your thoughts with the world. Blogger makes it simple to post text, photos and video onto your personal or team blog.	
bluekai.com	Oracle Corporation	Advertising	BlueKai works with websites to aggregate anonymous activities and enables marketers to provide more targeted online advertising.	
bluelithium.com	Yahoo! Inc.	Advertising	BlueLithium is an online advertising network focused on serving ads based on behavioral targeting of its users.	
bm23.com	Bronto Software, Inc	Marketing Platform	Bronto is the #1 email marketing provider to the Internet Retailer Top 1000. With an advanced marketing automation engine and solutions for shopping cart abandonment, post-purchase campaigns and powerful e-commerce integrations, Bronto is the premier cloud-based marketing platform for commerce.	
boldchat.com	LogMeIn Inc.	Live Support	Nobody wants to talk to a machine. BoldChat enhances your customer’s digital experience by extending a helpful human presence. Simply connecting with your customers—where, when and how they want—dramatically increases customer satisfaction and boosts sales.	
bonniercorp.com	Bonnier Corp.	Content Provision	Bonnier Corporation is one of the largest special interest publishing groups in America. Our multi-channel, magazine brands extend into platforms.	
bootstrapcdn.com	MaxCDN	CDN JSLib	BootstrapCDN is a free and public content delivery network. Users of BootstrapCDN can load CSS, JavaScript and images remotely, from its servers. Bootstrap uses MaxCDN&#039;s global content delivery network, which makes websites using its service resilient to unexpected surges in web traffic. Provides both the Twitter Bootstrap and FontAwesome.	
brand-server.com	Centro	Advertising	Centro develops digital advertising and media management software to help advertisers streamline and scale digital campaigns.	
brandirectory.com	Brand Finance	Royalty Relief	Brand Finance calculates brand value using the Royalty Relief methodology which determines the value a company would be willing to pay to license its brand as if it did not own it. This approach involves estimating the future revenue attributable to a brand and calculating a royalty rate that would be charged for the use of the brand.	
brcdn.com	BloomReach Inc.	Web Personalization	BloomReach drives revenue by consuming web wide and site data to interpret consumer demand and deliver relevant user experiences across digital channels.	
breakingburner.com	Crowdynews	Social Media	Carefree social media curation for all online publishers.	
brightcove.com	Brightcove	Video Platform (Streaming)	Brightcove Video Cloud is the leading online video hosting platform and online video player solution. Learn how you can leverage the power of Brightcove&#039;s video hosting services for your brand.	
brilig.com	Merkle	Advertising	Brilig is a cooperative data marketplace for digital display advertising targeting.	
browsealoud.com	Texthelp Ltd 	Accessibility	BrowseAloud adds speech and reading support tools to online content to extend the reach of websites for the 20% of the population that requires reading support. This includes those with dyslexia, learning difficulties, mild visual impairments and those with English as a second language.	
browser-update.org	Browser-Update.org	Browser Advice	An initiative by web designers to inform users about browser-updates	
brtstats.com	Quantcast	Advertising	Quantserve.com creates web beacons and cookies operated by audience research and behavioural advertising company Quantcast.	
btrll.com	BrightRoll Inc	Advertising	The leading programmatic video advertising platform for reaching audiences across web, mobile and connected TV.	
btstatic.com	Signal	Tag Management	BrightTag&#039;s tag management solution helps companies more effectively and efficiently unlock the value of their business data produced by consumers on their websites. Built-in privacy management tools also help brands respect individual requests not to be tracked or targeted for advertising, as well as comply with all regulatory requirements specific to cookies and privacy.	
burstnet.com	Burst Media	Advertising	One of the most well-established online media companies, Burst Media represents independent web publishers and their communities. We understand that independent publishers are the heartbeat of the web, and we have been working with these influencers and their audiences since 1995.	
c-col.com	Compete Inc. (Millwood Brown Digital)	Analytics	Compete's clickstream data are collected from a 2,000,000 member panel of US Internet users (about a 1% sample), using diverse sources. Using a rigorous statistical normalization methodology, Compete creates precise projections of the behavior of the entire US Internet browser population on monthly and weekly basis. In addition, Compete provides daily estimates of share of consumer attention garnered by the top Internet sites and the velocity of change of this attention.	
c3tag.com	C3 Metrics	Analytics	C3 Metrics offers advertisers, agencies, and advertising networks analytical tools that enable our business customers to better understand advertising campaign performance and consumer behaviour in connection with ad campaigns and activities undertaken on their behalf.	
campaigner.com	j2 Cloud Services Inc.	Email Marketing	Is your email marketing producing the revenue you expect? Learn how to easily send email campaigns that deliver results with Campaigner.	
canopylabs.com	Canopy Labs	Analytics	Personalize your marketing and sales. Our platform helps businesses increase their sales by predicting customer behavior and trends.	
captifymedia.com	Captiify	Advertising	Forward thinking, Hindsight Optimized... A London based Digital Media company generating relevant and engaging advertising opportunities for global brands.	
casalemedia.com	Casale Media	Analytics	Casale Media is a core technology company that maximizes digital media value for the world's leading publisher & advertiser brands.	
cdn.rawgit.com	GitHub	CDN	RawGit serves raw files directly from GitHub with proper Content-Type headers.	
cdninstagram.com	Instagram	Photographic Gallery	Instagram is a fast, beautiful and fun way to share your life with friends and family. Take a picture or video, choose a filter to transform its look and feel, then post to Instagram — it's that easy. You can even share to Facebook, Twitter, Tumblr and more. It's a new way to see the world.	
